,ASIN,brand,date_first_available,early_reviwer_flag,found_helpful_count,platform_group:,review_body,review_country,review_date,review_id,review_score,review_title,reviewer_id,verified_flag,scraped_time_stamp,review_date_englis,review_body_english,review_title_english
0,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Pacco ricevuto nei tempi prestabiliti e imballaggio in ottime condizioni. La stampa risulta leggermente più scura, niente di fastidioso sopratutto a fronte del prezzo allettante. Da valutare ancora la durata, installato da pochi giorni. Per concludere, ad ora un ottimo acquisto visto il prezzo contenuto, se la durata sarà altrettanto buona credo che difficilmente cambierò marchio.",Italia,"19 marzo, 2020",f2bf64a481eda6f03cb63c83e8a59c236cd528196ceb31bb630a770d727cf13d,5,Leggermente scuro ma ottimo rapporto qualità/prezzo,66bbc1b753311e3ace9a782e98126cdda5f2205d0f97b988405ab4a781163cec,1,2020-9-14 15:00:00,"March 19, 2020","Parcel received on time and packaging in excellent condition. The print is slightly darker, nothing annoying especially in the face of the attractive price. The duration still to be evaluated, installed a few days ago. To conclude, for now a great purchase given the low price, if the duration is as good I think it will be difficult to change the brand.",Slightly dark but excellent value for money
1,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Ho aspettato un po’ a fare questa recensione perché volevo rendere conto del funzionamento. La cartuccia viene riconosciuta come NON originale, ma la stampante la gestisce correttamente. La stampa è nitida e senza sbavature. Sicuramente consigliata",Italia,"20 marzo, 2020",ebe3ea3f667c7f3d4cb792f1f71e99e38467c6e079ea13c3790b6d3c7cdfe449,5,Toner consigliato,0ba8f0a9855383b73bbc525ce830103faf0aab9df859685f11b67ec97c9ff3c7,1,2020-9-14 15:00:00,"March 20, 2020","I waited a while to do this review because I wanted to report on how it works. The cartridge is recognized as NOT original, but the printer handles it correctly. The print is sharp and smudge-free. Definitely recommended",Recommended toner
2,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Il toner è perfetto per la mia stampante HP laser jet pro MFP M28W, non mi ha dato nessun problema al cambio, e stampa perfettamente. Riacquisterò questo prodotto per l'ottima qualità e l'ottimo prezzo.",Italia,"19 marzo, 2020",827c9653e6391948e8158347cf84316d74acf69da2826d249004dd637107414a,5,prodotto pari al originale,6412d7cacfc6b81730cc97977c933324b5b1a8e8ac947ccc4614c4be426cb8d7,1,2020-9-14 15:00:00,"March 19, 2020","The toner is perfect for my HP laser jet pro MFP M28W printer, it gave me no problem when changing, and it prints perfectly. I will buy this product back for the great quality and great price.",product equal to the original
3,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Il toner è adatto al tipo di stampante dichiarata, la consegna è stata veloce anche in tempi di emergenza sanitaria. Si è installata facilmente e la qualità di stampa è buona… ovviamente non ho ancora fatto le 1.000 copie garantite ma per ora sono soddisfatta.<br/>Buon rapporto qualità/prezzo.",Italia,"19 maggio, 2020",26ac22fcf9738edcf5caafa35c300d6855d156d5ad082bfa116a07f4bd3a56be,5,toner compatibile,5c00cd07eba920214ca7610556605dd71f241f40a3e29f0ce0ea9148dbc65a20,1,2020-9-14 15:00:00,"May 19, 2020","The toner is suitable for the type of printer declared, the delivery was fast even in times of health emergency. It installed easily and the print quality is good… obviously I haven't made the guaranteed 1,000 copies yet but for now I'm satisfied. <br/> Good quality / price ratio.",compatible toner
4,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,All'inizio ero un po' scettica poiché abituata a comprare quello dell'hp. Ho provato spinta dal prezzo (la metà) ad acquistare questo e sono rimasta soddisfatta. Sì adatta benissimo alla mia hp m28w e stampa come quella originale. Ottimo!,Italia,"16 marzo, 2020",684f47b9ee3944fd9dfc2e740a1d5da036dacc723387f60db0efc21748ae8402,5,Come l'originale!,b092f71f0a20c91ff472b0253af26ea66573fc4a9b94329c0268345a2f20b74e,1,2020-9-14 15:00:00,"March 16, 2020","At first I was a bit skeptical as I used to buy the HP one. I tried the price push (half) to buy this and I was satisfied. Yes, it fits my hp m28w very well and prints like the original one. Great!",Like the original!
5,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Al momento ho utilizzato solo un colore, motivo per cui si era bloccata la stampante. Funziona bene. Ovviamente la stampante non lo riconosce come originale ma basta darli l'ok e stampa lo stesso. Non so dare alcuna valutazione sugli altri colori e sulla durata della cartuccia.. vi farò sapere.<br/>Grazie e buona giornata",Italia,"30 marzo, 2020",c7011d3317d02c9fa921639203fbda65f82dbc71a15fabb6c939b351dcb2312e,5,Ottimo e giunta prima del previsto,24fc6b0e273c3b8392642fd8d7e073adebc8d56ccad9f17d505530a558b8258c,1,2020-9-14 15:00:00,"March 30, 2020","At the moment I only used one color, which is why the printer was stuck. Works well. Obviously the printer does not recognize it as original but just give them the ok and print the same. I don't know how to give any feedback on other colors and cartridge life .. I'll let you know. <br/> Thank you and have a nice day",Excellent and arrived earlier than expected
6,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Spedizione precisa e imballaggio perfetto. Eliminate tutte le protezioni in plastica, vi è anche una linguetta da rimuovere prima dell'uso. Le stampe sono uscite perfette senza sbavature. Il toner è stato subito riconosciuto dalla stampante. Acquisto consigliatissimo!",Italia,"21 giugno, 2020",4be489c2bcb368c38189d5dd22e72d72d503452a286ce4f187122e9122a3ca60,5,Stampe perfette senza sbavature,905d518491080d0718285c0cb423db8c88c3f0c34f144aa9e775ed9e3fd694ea,1,2020-9-14 15:00:00,"June 21, 2020","Precise shipping and perfect packaging. Remove all plastic protections, there is also a tab to remove before use. The prints came out perfect without smudging. The toner was immediately recognized by the printer. Purchase highly recommended!",Perfect prints without smudging
7,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Ho acquistato questo toner per la mia stampante Laser HP ed ho sostituito una cartuccia originale. non ho trovato nessuna differenza, le stampe escono senza nessun tipo di problema. L'installazione è stata semplice.<br/>Visto l'ottimo rapporto qualità prezzo ne consiglio sicuramente l'acquisto.",Italia,"24 marzo, 2020",b3b90b271ab30fae45dc09d1a33e1a61e3c20bdc011592f0d7863711a70f5186,5,Ottimo prodotto,3f65e7df3fce23538c6b560d4a2afd2d9d3ff82fe7e572a36e8b323395be0404,1,2020-9-14 15:00:00,"March 24, 2020","I purchased this toner for my HP Laser printer and replaced an original cartridge. I have not found any difference, the prints come out without any kind of problem. The installation was simple. <br/> Given the excellent value for money I definitely recommend the purchase.",Great product
8,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Il toner  arriva in una scatola di cartone protetta da involucro nero e sigillato.<br/>Nella confezione ci sono incluse le istruzioni in inglese come installarla correttamente accompagnate da 4 immagini; bisogna scuoterla per un con un movimento non troppo brusco verso sinistra e destra tipo barchetta che dondola sulle onde, questo metodo funziona anche quando il toner sta per finire o al improvviso non stampa bene ( le lettere meno e più visibili ). Una volta fatto quello basta togliere le protezioni e inserirlo nella stampante, la mia è la HP M28w e il toner funziona correttamente. Se non sapete come fare consultate le istruzioni del manuale della stampante o seguite la procedura che vi propone  il programma installato sul PC.<br/>Per la resa al momento non posso dire niente ma di solito un toner mi dura in media 3 mesi, se riscontro problemi torno ad aggiornare la recensione.",Italia,"26 gennaio, 2020",ac0d7ab53814f97bb745fc352335da21bd3f2e8e1e0923b0e06f33af08337312,4,Non ho riscontrato problemi durante l'installazione,368bb6446de38de7dd92bdc1c9b90525306b7bc27a30ba31dc31eb7312942c93,1,2020-9-14 15:00:00,"January 26, 2020","The toner arrives in a cardboard box protected by a black and sealed wrapping. <br/> The package includes instructions in English how to install it correctly accompanied by 4 images; you have to shake it for a not too abrupt movement to the left and right like a boat swinging on the waves, this method works even when the toner is about to run out or suddenly does not print well (the letters less and more visible). Once that is done just remove the caps and insert it into the printer, mine is the HP M28w and the toner is working properly. If you do not know how to do it, consult the instructions in the printer manual or follow the procedure proposed by the program installed on your PC. <br/> For the yield at the moment I can not say anything but usually a toner lasts me on average 3 months, if I encounter any problems I will return to update the review.",I encountered no problems installing
9,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,,Italia,"21 luglio, 2020",3f6e131fa553b5625bfed06fb9f62c1178b6b01d2a6cffad303ed7cb55a397ac,5,numero ordine  40388788613105128,ce206f8dc527379283302d62dba5b9058c546810ebcc7aaeb921647db8793e4c,1,2020-9-14 15:00:00,"21 July, 2020",in,order number 40388788613105128
10,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,ottimo prodotto paragonabile ad un originale hp prezzo ottimo durata della cartuccia effettiva come dichiarato consegna puntuale<br/>acquisterò nuovamente questo prodotto,Italia,"21 gennaio, 2020",acdfb8e0a73bce27c300b3044dc9fc476f0501ccd0100a873f062bd18aa00ead,5,ottimo prodotto,97ea1df5f9bd45161000f2360e605a572aff455d5945271499f4b023ab24892f,1,2020-9-14 15:00:00,"January 21, 2020",excellent product comparable to an original hp price excellent duration of the actual cartridge as stated on time delivery <br/> I will purchase this product again,great product
11,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Ottima,",Italia,"23 dicembre, 2019",6cb84b9d2457bde2b1ac38a8bc9e1116c61cb71670e17c872c5670a4a64ee2ba,5,Funziona bene,7e15c715a44c37346e695aeabac8ecd31bba63051c4085d13ca72dfb73ef93cd,1,2020-9-14 15:00:00,"23 December, 2019","Great,",Works well
12,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Ottimo acquisto lo consiglio vivamente<br/>Spedizione super veloce<br/>Cercavo un toner compatibile , senza dover spendere una fortuna e questo è l’ideale .",Italia,"30 gennaio, 2020",59ec0a47a6bbd8f4634683b16408bd6a83961050c4827543e22fc301b20cdb86,5,Ottimo,9c19099fa4ad429901ed59a1f25b052b292aede34b4aa5cdb25d2224f54df6e3,1,2020-9-14 15:00:00,"January 30, 2020","Great purchase. I highly recommend it <br/> Super fast shipping <br/> I was looking for a compatible toner, without having to spend a fortune and this is ideal.",Great
13,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"il prodotto è arrivato in tempo. dopo una stampa pesante, ho scoperto che è un prezzo eccellente per il lavoro. Penso anche che possa essere facilmente ricaricato",Italia,"1 febbraio, 2020",8b3f2fdf4ff1316d61cdd31d78db0501fbe95f154acf9116deee0f9fc87f8a80,5,pronta consegna e stampa di qualità,3898c36fd591670452d2a34c710c87b7c49848416c41115010726e94be0d7533,1,2020-9-14 15:00:00,"1st February, 2020","the product arrived on time. after heavy printing, I found that it is an excellent price for the job. I also think it can be easily reloaded",prompt delivery and quality printing
14,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,Toner Ricambio fedele all’originale!stampa perfetta e priva di difetti!..non ho riscontrato nessun problema nella sostituzione!!consigliato!!,Italia,"17 gennaio, 2020",084a54c233222a218fccd0e27c2e9571bcd87e06f112f7038f7a6d28e9fa2905,5,Perfetta!!!,b04ce1692573710a403069e336ee9ab95fa220dcdcbd37fd81f9258776e01d3a,1,2020-9-14 15:00:00,"January 17, 2020",Toner Replacement faithful to the original! Print perfect and free of defects! .. I have not encountered any problems in replacing !! recommended !!,Perfect !!!
15,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Cartuccia ottima, sostituisce perfettamente quella originale. Consigliata.",Italia,"26 gennaio, 2020",e2652d1f2dca535c333bd79e48bd5d374e1e6bf0d5f58c1d09e92de1837bf93e,5,CF244A Cartuccia toner compatibile per HP CF244A 44A Lavoro per HP LaserJet Pr,bf3ded8e4b0e3493c3dd2f48123009e7b56af9f4c2ed03ed15970bbaa24845ee,1,2020-9-14 15:00:00,"January 26, 2020","Excellent cartridge, perfectly replaces the original one. Recommended.",CF244A Toner cartridge compatible for HP CF244A 44A Work for HP LaserJet Pr
16,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Ottimo il rapporto qualità-prezzo. Facile da installare, perfettamente funzionante e con una definizione grafica uguale all' originale. Vivamente consigliata ai futuri potenziali acquirenti.",Italia,"18 gennaio, 2020",fbbbd5e1a6a1e7c2db21fc7ff53109266488ac24d6817a3a9a635142938fbfb3,5,Cartuccia con ottima grafica,00d4b89cde9038c3ba9ec209c489c074a9316c9559b6af20523049cd1266c64b,1,2020-9-14 15:00:00,"January 18, 2020","Excellent quality-price relation. Easy to install, fully functional and with a graphic definition equal to the original. Highly recommended for future potential buyers.",Cartridge with excellent graphics
17,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Ho atteso un po' prima di recensire l'articolo, per poterlo provare.<br/>Arrivato in anticipo rispetto alle previsioni, con imballaggio integro e confezionato con cura.<br/>Consueti blocchi di sicurezza della cartuccia che è perfettamente calzante nella stampante (HP Laserjet Pro M15a).<br/>Stampa nitida e perfetta.<br/>Mi riservo di verificarne la durata ma sono pienamente soddisfatta dell'acquisto soprattutto in considerazione della convenienza dello stesso rispetto all'originale.",Italia,"24 agosto, 2020",62ffdcd7dcadca6060bbeb6e5cec3c570a7553766bfec0cad256b373ac5cf003,5,ottimo rapporto qualità/prezzo,c2d9b56333ef63cda455e170e6dd00b68441ba4d70760537a54239ec7e34360c,1,2020-9-14 15:00:00,"August 24, 2020","I waited a while before reviewing the article, to be able to test it. <br/> Arrived earlier than expected, with intact and carefully packaged packaging. <br/> Usual safety locks of the cartridge that fits perfectly in the printer (HP Laserjet Pro M15a). <br/> Sharp and perfect printing. <br/> I reserve the right to verify the duration but I am fully satisfied with the purchase especially considering the convenience of the same compared to the original.",excellent value for money
18,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Prodotto consegnato nei tempi previsti. Prezzo concorrenziale. La cartuccia una volta inserita nella stampante è stata immediatamente riconosciuta, senza necessità di espletare alcuna operazione. Buona qualità della stampa; solo col tempo avrò modo di verificarne la durata. Unico appunto che mi sento di fare, ma più che altro è un consiglio, sarebbe quello di inserire nella confezione un foglio con le istruzioni che avvisino di rimuovere preventivamente la plastica copri rullo e le protezioni varie; non tutti hanno esperienza in merito",Italia,"23 agosto, 2020",f4d4065be44b8c7e25df9d0379c35cdbd923ee72a29bb4ffe31eaac430a68163,5,Soddisfatto,c81c6741ff884b41b4d324107b626de323453a6ab6bff5924380171f8263b390,1,2020-9-14 15:00:00,"23 August, 2020","Product delivered on schedule. Competitive price. Once inserted into the printer, the cartridge was immediately recognized, without the need to perform any operation. Good print quality; only over time will I be able to verify its duration. The only thing I would like to do, but more than anything else, it is a suggestion, would be to insert a sheet in the package with the instructions that warn you to remove in advance the plastic roller cover and the various protections; not everyone has experience in this regard",Satisfied
19,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"ottimo rapporto qualità prezzo consegna rapida , sembra molto buona anche la fattura , sembra originale , rimango basso un po con i giudizi , perché devo ancora vedere come va fino alla fine e quanto dura , comunque cosi a prima impressione sembra un ottimo affare.",Italia,"31 gennaio, 2020",293047dcd9f2a6e794f49252996779296bd1446ebd96d744b1f31d069e47909e,4,toner alternativo,d620397507da67fd5056153531f7bc1ab728abf82c65149f354aa012f8dd406c,1,2020-9-14 15:00:00,"January 31, 2020","excellent value for money fast delivery, the workmanship also looks very good, it looks original, I stay a bit low with the reviews, because I have yet to see how it goes up to the end and how long it lasts, anyway so at first impression it seems a great deal.",toner alternativo
20,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,,Italia,"22 agosto, 2020",295e6fe5181c4df0972029481b10e6695f0866810cf574bc24772472c4f38830,5,qualità prezzo ottima,198d658c6dba365f6d4c4f216437dd524797430a52d89a55c7fe253888d35999,1,2020-9-14 15:00:00,"August 22, 2020",in,excellent price quality
21,B0811PPHWH,Marca: CMYBabee,,0,0,Arthur,"Non volendo spendere 50 euro per una cartuccia originale, cercavo una cartuccia compatibile di buona qualità.<br/><br/>che dire, qui la qualità è altissima. La cartuccia si installa automaticamente, e la stampante non da nessuno errore. Basta inserirla ed il gioco è fatto. Qualità di stampa eccezionale senza sbavature o righe.",Italia,"21 agosto, 2020",243a558396e765dfd679788c63799e90321d4b1b5f4d0d132f6df66bfcfcb174,5,CARTUCCIA TOP,7849c0933eec4499442a04ccfdd8565b0f7305216b209f780ce472acc5440b35,1,2020-9-14 15:00:00,"August 21, 2020","Not wanting to spend 50 euros for an original cartridge, I was looking for a good quality compatible cartridge. <br/> <br/> What can I say, here the quality is very high. The cartridge installs automatically, and the printer gives no errors. Just insert it and that's it. Exceptional print quality without smudging or streaking.",TOP CARTRIDGE
